,available_translations,first_aired,ids.imdb,ids.tmdb,ids.trakt,ids.tvdb,ids.tvrage,number,number_abs,overview,rating,season,title,updated_at,votes
0,[],2010-12-06 02:00:00,,63087,73630,3226241,0,1,,A short look into the film-making process for the production Game of Thrones,9.05054,0,Inside Game of Thrones,2016-06-03T20:54:14.000Z,554
0,[],2011-04-04 01:00:00,,63086,73631,4045941,0,2,,An approximately 15-minute preview of the first episode of Game of Thrones.,8.81818,0,15-Minute Preview,2016-05-23T13:47:29.000Z,121
0,[],2011-04-08 01:00:00,,63088,73632,4073401,0,3,,An exclusive 30-minute feature including never-before-seen footage from the set and interviews from the cast and crew,8.55556,0,Making Game of Thrones,2016-05-24T13:11:35.000Z,72
0,[],2011-04-11 01:00:00,,63089,73633,4082317,0,4,,"A spanish ""Canal +`"" production with interviews to some famous spanish movie directors like Alex de La Iglesia and extracts from last special ""Making Game Of Thrones""",8.54762,0,El Juego Comienza,2016-05-24T13:28:32.000Z,42
0,[],2011-07-22 01:00:00,,63090,73634,4138149,0,5,,,9.11765,0,2011 Comic Con Panel,2016-05-23T13:47:43.000Z,102
0,[],2012-03-25 01:00:00,,63091,73635,4292422,0,6,,A prequel to Game of Thrones Season 2 which recaps on the first season and gives insight into what's to come.,8.95614,0,You Win or You Die,2016-05-23T13:47:44.000Z,114
0,[],2013-03-09 02:00:00,,63092,73636,4517457,0,7,,A prequel to Game of Thrones Season 3 which recaps on the first and second season and gives insight into what's to come.,8.65868,0,A Gathering Storm,2016-05-30T08:21:48.000Z,167
0,[],2013-05-20 01:00:00,,63093,73637,4576208,0,8,,Love and marriage? They don't go together so well in 'Game of Thrones' where the concept of matrimony is all about making power plays and political alliances. Cast and crew members along with author George R.R. Martin take a fascinating look at this ancient institution and its place in the hit HBO series.,8.28846,0,Politics of  Marriage,2016-05-23T13:47:56.000Z,104
0,[],2014-02-10 02:00:00,,974558,73638,4779102,0,9,,"Take a look back and a look forward to the fourth season of the hit HBO series, the show features clips from upcoming episodes, behind the scenes footage, interviews with talent, and cast members' answers to questions posed by fans.",8.70518,0,Ice and Fire: A Foreshadowing,2016-05-23T13:48:09.000Z,251
0,[],2014-03-13 01:00:00,,974559,73639,4824480,0,10,,"Relive every thrilling, dramatic and tragic highlight from Season 3 of ""Game of Thrones"" in this comprehensive featurette. From Daenerys building a slave army to the infamous Red Wedding, not a detail is missed as recalled by the stars of the hit HBO series.",8.37391,0,The Politics of Power: A Look Back at Season 3,2016-05-23T14:13:12.000Z,115
0,[],2015-02-09 02:00:00,,1041057,1748896,5124007,0,11,,What does it take to put together 'Game of Thrones'? Spend a day on the set with the people who make it happen.,7.84091,0,A Day in the Life,2016-05-31T13:36:38.000Z,176
0,[],2015-03-17 01:00:00,,0,1798707,5161729,,12,,"Ahead of the eagerly-anticipated fifth season, we bring you up tp speed with the events of the epic fantasy drama to date. 

And to help the uninitiated ease into the wild world of Westeros, here's a beginner's guide to the fantasy epic.",7.96429,0,The Story So Far,2016-05-21T18:48:56.000Z,28
0,[],2015-03-20 01:00:00,,0,1798708,5161730,,13,,See the stars of Game of Thrones arrive at the Tower of London for the world premiere of the hit show's fifth season. Sue Perkins and Jamie East host.,8.77273,0,World Premiere,2016-05-22T07:19:24.000Z,22
0,[],2015-05-23 01:00:00,,0,1889021,5244066,,14,,"“George R.R. Martin meets Chris Martin – what could go wrong?” That’s Emilia Clarke in the epic, 12-minute video for Coldplay’s totally fake Game of Thrones musical, right before she rips into a song called “Rastafarian Targaryen.” Here’s a sample lyric: “Call me Daenerys Targaryen when you want to reach me, and if you feel the love then you can call me Khalessi.”

The sketch, part of Red Nose Day, includes cast members Kit Harington, Peter Dinklage, John Bradley, Rose Leslie, Charlotte Pope, Thomas Brodie-Sangster, Alfie Allen and Nikolaj Coster-Waldau, who performs a piano ballad called “Closer to Home” to a photo of Lena Headey as Cersei. (“Are you thinking about Joffrey? Such a spirited lad. I was his uncle, I was also his dad.”)",9.375,0,Red Nose Day 'Game Of Thrones' Musical,2016-05-29T07:54:40.000Z,64
